run_id,success,time_s,steps
0000,False,5.000,51
0001,False,3.900,40
0002,False,5.000,51
0003,False,3.600,37
0004,False,5.000,51
0005,False,3.500,36
0006,False,3.700,38
0007,False,3.600,37
0008,False,3.500,36
0009,False,5.000,51
0010,False,5.000,51
0011,False,5.000,51
0012,False,5.000,51
0013,False,3.700,38
0014,False,3.900,40
0015,False,3.500,36
0016,False,5.000,51
0017,False,3.600,37
0018,False,5.000,51
0019,False,3.700,38
0020,False,5.000,51
0021,False,3.600,37
0022,False,5.000,51
0023,False,5.000,51
0024,False,3.500,36
0025,False,3.700,38
0026,False,3.600,37
0027,False,5.000,51
0028,False,5.000,51
0029,False,3.500,36
0030,False,3.700,38
0031,False,3.600,37
0032,False,5.000,51
0033,False,5.000,51
0034,False,5.000,51
0035,False,3.600,37
0036,False,3.600,37
0037,False,3.600,37
0038,False,5.000,51
0039,False,5.000,51
0040,False,3.800,39
0041,False,3.700,38
0042,False,5.000,51
0043,False,3.900,40
0044,False,3.500,36
0045,False,5.000,51
0046,False,3.700,38
0047,False,5.000,51
0048,False,3.600,37
0049,False,3.500,36
0050,False,3.700,38
0051,False,3.500,36
0052,False,5.000,51
0053,False,3.600,37
0054,False,5.000,51
0055,False,3.500,36
0056,False,3.900,40
0057,False,3.700,38
0058,False,3.900,40
0059,False,5.000,51
0060,False,3.500,36
0061,False,3.700,38
0062,False,3.600,37
0063,False,3.900,40
0064,False,5.000,51
0065,False,3.500,36
0066,False,3.900,40
0067,False,3.500,36
0068,False,3.700,38
0069,False,3.500,36
0070,False,5.000,51
0071,False,5.000,51
0072,False,5.000,51
0073,False,5.000,51
0074,False,5.000,51
0075,False,5.000,51
0076,False,5.000,51
0077,False,5.000,51
0078,False,3.900,40
0079,False,3.500,36
0080,False,3.600,37
0081,False,5.000,51
0082,False,5.000,51
0083,False,3.900,40
0084,False,3.700,38
0085,False,3.500,36
0086,False,3.600,37
0087,False,3.800,39
0088,False,3.700,38
0089,False,5.000,51
0090,False,5.000,51
0091,False,3.700,38
0092,False,3.800,39
0093,False,5.000,51
0094,False,3.700,38
0095,False,3.700,38
0096,False,5.000,51
0097,False,3.600,37
0098,False,5.000,51
0099,False,5.000,51
