run_id,success,time_s,steps
0000,True,14.700,149
0001,False,6.900,71
0002,False,7.200,74
0003,True,14.900,150
0004,False,6.700,69
0005,False,7.200,74
0006,False,6.700,69
0007,False,6.700,69
0008,True,14.700,149
0009,True,14.700,149
0010,False,7.000,72
0011,True,14.700,149
0012,False,7.300,75
0013,True,14.700,149
0014,False,7.000,71
0015,False,7.000,71
0016,False,7.200,74
0017,False,6.600,68
0018,False,7.300,75
0019,False,7.000,72
0020,True,14.700,149
0021,False,7.900,81
0022,False,7.300,75
0023,False,7.000,72
0024,True,14.700,149
0025,False,7.200,74
0026,False,6.800,70
0027,False,7.000,71
0028,True,14.700,149
0029,False,6.900,70
0030,False,7.200,74
0031,False,6.900,71
0032,False,7.000,72
0033,False,7.000,72
0034,False,6.500,67
0035,True,14.700,149
0036,False,7.000,72
0037,True,14.700,149
0038,False,7.300,75
0039,False,6.900,70
0040,False,6.800,70
0041,False,7.300,75
0042,False,7.300,74
0043,True,14.700,149
0044,False,7.300,75
0045,False,7.200,74
0046,True,14.700,149
0047,False,7.300,75
0048,True,14.700,149
0049,False,6.900,70
